TECH,MNUMCR,MNUMYR,CAPAVAIL,CAPLAN,CAPNEW
Saline Cavern,9,23,100,0.2,0.1
Saline Cavern,9,24,100,0.2,0.1
Saline Cavern,9,25,100,0.2,0.1
Saline Cavern,9,26,100,0.2,0.1
Saline Cavern,9,27,100,0.2,0.1
Saline Cavern,9,28,100,0.2,0.1
Saline Cavern,9,29,100,0.2,0.1
Saline Cavern,9,30,100,0.2,0.1
Saline Cavern,9,31,100,0.2,0.1
Saline Cavern,9,32,100,0.2,0.1
Saline Cavern,9,33,100,0.2,0.1
Saline Cavern,9,34,100,0.2,0.1
Saline Cavern,9,35,100,0.2,0.1
Saline Cavern,9,36,100,0.2,0.1
Saline Cavern,9,37,100,0.2,0.1
Saline Cavern,9,38,100,0.2,0.1
Saline Cavern,9,39,100,0.2,0.1
Saline Cavern,9,40,100,0.2,0.1
Saline Cavern,9,41,100,0.2,0.1
Saline Cavern,9,42,100,0.2,0.1
Saline Cavern,9,43,100,0.2,0.1
Saline Cavern,9,44,100,0.2,0.1
Saline Cavern,9,45,100,0.2,0.1
Saline Cavern,9,46,100,0.2,0.1
Saline Cavern,9,47,100,0.2,0.1
Saline Cavern,9,48,100,0.2,0.1
Saline Cavern,9,49,100,0.2,0.1
Saline Cavern,9,50,100,0.2,0.1
Saline Cavern,9,51,100,0.2,0.1
Saline Cavern,9,52,100,0.2,0.1
Saline Cavern,9,53,100,0.2,0.1
Saline Cavern,9,54,100,0.2,0.1
Saline Cavern,9,55,100,0.2,0.1
Saline Cavern,9,56,100,0.2,0.1
Saline Cavern,9,57,100,0.2,0.1
Saline Cavern,9,58,100,0.2,0.1
Saline Cavern,9,59,100,0.2,0.1
Saline Cavern,9,60,100,0.2,0.1
Saline Cavern,9,61,100,0.2,0.1
Saline Cavern,10,1,100,0.2,0.1
Saline Cavern,10,2,100,0.2,0.1
Saline Cavern,10,3,100,0.2,0.1
Saline Cavern,10,4,100,0.2,0.1
Saline Cavern,10,5,100,0.2,0.1
Saline Cavern,10,6,100,0.2,0.1
Saline Cavern,10,7,100,0.2,0.1
Saline Cavern,10,8,100,0.2,0.1
Saline Cavern,10,9,100,0.2,0.1
Saline Cavern,10,10,100,0.2,0.1
Saline Cavern,10,11,100,0.2,0.1
Saline Cavern,10,12,100,0.2,0.1
Saline Cavern,10,13,100,0.2,0.1
Saline Cavern,10,14,100,0.2,0.1
Saline Cavern,10,15,100,0.2,0.1
Saline Cavern,10,16,100,0.2,0.1
Saline Cavern,10,17,100,0.2,0.1
Saline Cavern,10,18,100,0.2,0.1
Saline Cavern,10,19,100,0.2,0.1
Saline Cavern,10,20,100,0.2,0.1
Saline Cavern,10,21,100,0.2,0.1
Saline Cavern,10,22,100,0.2,0.1
Saline Cavern,10,23,100,0.2,0.1
Saline Cavern,10,24,100,0.2,0.1
Saline Cavern,10,25,100,0.2,0.1
Saline Cavern,10,26,100,0.2,0.1
Saline Cavern,10,27,100,0.2,0.1
Saline Cavern,10,28,100,0.2,0.1
Saline Cavern,10,29,100,0.2,0.1
Saline Cavern,10,30,100,0.2,0.1
Saline Cavern,10,31,100,0.2,0.1
Saline Cavern,10,32,100,0.2,0.1
Saline Cavern,10,33,100,0.2,0.1
Saline Cavern,10,34,100,0.2,0.1
Saline Cavern,10,35,100,0.2,0.1
Saline Cavern,10,36,100,0.2,0.1
Saline Cavern,10,37,100,0.2,0.1
Saline Cavern,10,38,100,0.2,0.1
Saline Cavern,10,39,100,0.2,0.1
Saline Cavern,10,40,100,0.2,0.1
Saline Cavern,10,41,100,0.2,0.1
Saline Cavern,10,42,100,0.2,0.1
Saline Cavern,10,43,100,0.2,0.1
Saline Cavern,10,44,100,0.2,0.1
Saline Cavern,10,45,100,0.2,0.1
Saline Cavern,10,46,100,0.2,0.1
Saline Cavern,10,47,100,0.2,0.1
Saline Cavern,10,48,100,0.2,0.1
Saline Cavern,10,49,100,0.2,0.1
Saline Cavern,10,50,100,0.2,0.1
Saline Cavern,10,51,100,0.2,0.1
Saline Cavern,10,52,100,0.2,0.1
Saline Cavern,10,53,100,0.2,0.1
Saline Cavern,10,54,100,0.2,0.1
Saline Cavern,10,55,100,0.2,0.1
Saline Cavern,10,56,100,0.2,0.1
Saline Cavern,10,57,100,0.2,0.1
Saline Cavern,10,58,100,0.2,0.1
Saline Cavern,10,59,100,0.2,0.1
Saline Cavern,10,60,100,0.2,0.1
Saline Cavern,10,61,100,0.2,0.1
Saline Cavern,11,1,100,0.2,0.1
Saline Cavern,11,2,100,0.2,0.1
Saline Cavern,11,3,100,0.2,0.1
Saline Cavern,11,4,100,0.2,0.1
Saline Cavern,11,5,100,0.2,0.1
Saline Cavern,11,6,100,0.2,0.1
Saline Cavern,11,7,100,0.2,0.1
Saline Cavern,11,8,100,0.2,0.1
Saline Cavern,11,9,100,0.2,0.1
Saline Cavern,11,10,100,0.2,0.1
Saline Cavern,11,11,100,0.2,0.1
Saline Cavern,11,12,100,0.2,0.1
Saline Cavern,11,13,100,0.2,0.1
Saline Cavern,11,14,100,0.2,0.1
Saline Cavern,11,15,100,0.2,0.1
