KILN_ID,FACILITY_ID,LATITUDE,LONGITUDE,STATE,CENSUS_REGION,CENSUS_DIVISION,CENSUS_DIV_NEMS,OGSM_RG,EMM_FR,Wet/Dry Kiln,Kiln Tech,CAP_FACTOR,LB_CO2/T_CLINKER,TOTAL_CO2_EMISSIONS,flag_CO2,flag_clinkerCAP,flag_ClinkerPerCO2,flag_notPR,flag_nofuel,coal,natural gas,tires,petroleum coke,coke,distillate oil,biomass,ag products,other,CLINKER_CAPACITY_kT_YR,CCS Retrofit Costs [2011$/ton clinker],CO2 Sales Price to EOR [$/tonne],Total CO2 Capture Retrofit TOC [2011$/kT],Total Annual Fixed O&M Cost [2011$/kT],Total Annual Variable O&M Cost [2011$/kT @ Operating CF],Total Parasitic Retrofit Load [MW/kT],Total Natural Gas Requirement [GJ/kT],CCS Y/N,ID
62,1002665,37.698786,-95.459748,KS,Midwest,"""West North Central""",4,3,7,Dry,3,0.850291104,2004.347895,1005952,1,1,1,1,1,0.92,0.03,0,0,0.03,0,0,0,0.03,1470.795846,63.98290041,62.68819384,315568.4288,8314.615253,4243.898208,111.4196811,2.81240463,0,1002665_1
63,1003002,38.1804,-90.3366,MO,Midwest,"""West North Central""",4,3,9,Dry,3,0.898398651,2884.625215,1684401.4,1,1,1,1,1,0,0.05,0,0.95,0,0,0,0,0,2705.445615,61.19659604,59.52279448,242919.8399,6400.466021,3266.889141,102.4985579,2.812404631,0,1003002_1
64,1004270,29.545278,-98.421111,TX,South,"""West South Central""",7,2,18,0,0,0.758394512,19.30370003,4882,1,1,0,1,1,0.44,0.18,0.19,0,0.19,0,0,0,0,363.6265542,35.51952864,35.35219358,410217.1905,10808.42631,5516.774939,111.4196811,2.812404631,0,1004270_1
65,1004270,29.545278,-98.421111,TX,South,"""West South Central""",7,2,18,Dry,1,0.758394512,1767.959932,447125.7,1,1,1,1,1,0.44,0.18,0.19,0,0.19,0,0,0,0,363.6265542,35.51952864,35.35219358,410217.1905,10808.42631,5516.774939,111.4196811,2.812404631,0,1004270_2
66,1004539,44.0896,-103.271663,SD,Midwest,"""West North Central""",4,7,10,0,0,0.849182029,1291.960663,493097,1,1,1,1,1,0.05,0.95,0,0,0,0,0,0,0,286.8724622,24.36461419,24.34624649,372898.366,9825.14776,5014.895544,102.4985579,2.812404631,0,1004539_1
67,1004539,44.0896,-103.271663,SD,Midwest,"""West North Central""",4,7,10,0,0,0.849182029,34.28113082,12659,1,1,0,1,0,0.05,0.95,0,0,0,0,0,0,0,286.8724622,24.36461419,24.34624649,372898.366,9825.14776,5014.895544,102.4985579,2.812404631,0,1004539_2
68,1004539,44.0896,-103.271663,SD,Midwest,"""West North Central""",4,7,10,Dry,1,0.849182029,391.8063364,131535,1,1,0,1,0,0.05,0.95,0,0,0,0,0,0,0,286.8724622,24.36461419,24.34624649,372898.366,9825.14776,5014.895544,102.4985579,2.812404631,0,1004539_3
69,1004721,36.022505,-83.834408,TN,South,"""East South Central""",6,1,16,Dry,1,0.80045847,2067.870062,472904,1,1,1,1,1,0.95,0.05,0,0,0,0,0,0,0,677.4347342,75.52849029,75.80463698,407955.6382,10748.8388,5486.360624,102.4985579,2.812404631,0,1004721_1
70,1002530,39.563527,-112.197061,UT,West,"""Mountain""",8,5,20,Wet,4,0.731687812,2188.057326,622084,1,1,1,1,1,0.34,0.49,0.17,0,0,0,0,0,0,819.476321,77.44728972,77.98450167,392349.5977,10337.64995,5276.483965,111.419681,2.812404632,0,1002530_1
71,1003303,28.582265,-82.430829,FL,South,"""South Atlantic""",5,2,15,Dry,1,0.777928306,1659.991915,655173.6,1,1,1,1,1,0.47,0,0.03,0,0,0.5,0,0,0,536.1408758,38.67468483,38.53870559,332873.9948,8770.583308,4476.630807,102.498558,2.812404632,0,1003303_1
