Composite table:
    i_MarketPriceCode  i_CensusDivision  i_NEMSYear    HMMBLK_PHMM(i_MarketPriceCode,i_CensusDivision,i_NEMSYear)
    6                                 4  42                                                                  9.67
    6                                 5  34                                                                 76.32
    6                                 5  35                                                                  2.08
    6                                 5  36                                                                  2.09
    6                                 5  37                                                                  2.09
    6                                 5  38                                                                  2.10
    6                                 5  39                                                                  2.10
    6                                 5  40                                                                  2.11
    6                                 5  41                                                                  2.11
    6                                 5  42                                                                  9.50
    6                                 6  34                                                                 76.32
    6                                 6  35                                                                  2.08
    6                                 6  36                                                                  2.09
    6                                 6  37                                                                  2.09
    6                                 6  38                                                                  2.10
    6                                 6  39                                                                  2.10
    6                                 6  40                                                                  2.11
    6                                 6  41                                                                  2.11
    6                                 6  42                                                                  9.50
    6                                 7  34                                                                 76.32
    6                                 7  35                                                                 76.32
    6                                 7  36                                                                  2.10
    6                                 7  37                                                                  2.09
    6                                 7  38                                                                  2.10
    6                                 7  39                                                                  2.10
    6                                 7  40                                                                  2.11
    6                                 7  41                                                                  2.11
    6                                 7  42                                                                  9.67
    6                                 8  34                                                                 76.32
    6                                 8  35                                                                  2.08
    6                                 8  36                                                                  2.09
    6                                 8  37                                                                  2.09
    6                                 8  38                                                                  2.10
    6                                 8  39                                                                  2.10
    6                                 8  40                                                                  2.11
    6                                 8  41                                                                  2.11
    6                                 8  42                                                                  9.67
    6                                 9  34                                                                 76.32
    6                                 9  35                                                                  2.08
    6                                 9  36                                                                  2.09
    6                                 9  37                                                                  2.09
    6                                 9  38                                                                  2.10
    6                                 9  39                                                                  2.10
    6                                 9  40                                                                  2.11
    6                                 9  41                                                                  2.11
    6                                 9  42                                                                 11.52
    6                                10  34                                                                 76.32
    6                                10  35                                                                  4.86
    6                                10  36                                                                  4.93
    6                                10  37                                                                  5.00
    6                                10  38                                                                  5.08
    6                                10  39                                                                  5.16
    6                                10  40                                                                  5.25
    6                                10  41                                                                  5.32
    6                                10  42                                                                  5.41
    7                                 1  34                                                                 76.32
    7                                 1  35                                                                 76.32
    7                                 1  36                                                                 76.32
    7                                 1  37                                                                  2.09
    7                                 1  38                                                                  2.10
    7                                 1  39                                                                  2.10
    7                                 1  40                                                                  2.50
    7                                 1  41                                                                  2.11
    7                                 1  42                                                                  9.92
    7                                 2  34                                                                 76.32
    7                                 2  35                                                                  2.08
    7                                 2  36                                                                  2.09
    7                                 2  37                                                                  2.09
    7                                 2  38                                                                  2.10
    7                                 2  39                                                                  2.10
    7                                 2  40                                                                  2.11
    7                                 2  41                                                                  2.11
    7                                 2  42                                                                  9.50
    7                                 3  34                                                                 76.32
    7                                 3  35                                                                 76.32
    7                                 3  36                                                                  2.09
    7                                 3  37                                                                  2.09
    7                                 3  38                                                                  2.10
    7                                 3  39                                                                  2.10
    7                                 3  40                                                                  2.11
